a: EY
there: DH-EH-R
these: DH-IYːZ
they: DH-EY
thing: TH-IH-NG
think: TH-IH-NG-K
third: TH-ERːD
this: DH-IH-S
those: DH-OW-Z
though: DH-OW
thought: TH-AAːT
thousand: ˈTH-AW.Z-AX-N-D
threat: TH-R-EH-T
three: TH-R-IYː
through: TH-R-UWː
throughout: TH-R-UWːˈAW-T
throw: TH-R-OW
thus: DH-AH-S
time: T-AY-M
to: T-UWː
today: T-AXˈD-EY
together: T-AXˈG-EH-DH.AXR
tonight: T-AXˈN-AY-T
too: T-UWː
top: T-AAːP
total: ˈT-OW.T-AX-L
tough: T-AH-F
toward: T-AOːR-D
town: T-AW-N
trade: T-R-EY-D
traditional: T-R-AXˈD-IH-SH.AX-N.AX-L
training: ˈT-R-EY.N-IH-NG
travel: ˈT-R-AE-V.AX-L
treat: T-R-IYːT
treatment: ˈT-R-IYːT.M-AX-N-T
tree: T-R-IYː
trial: T-R-AY-AX-L
trip: T-R-IH-P
trouble: ˈT-R-AH-B.AX-L
true: T-R-UWː
truth: T-R-UWːTH
try: T-R-AY
turn: T-ERːN
TV: ˌT-IYːˈV-IYː
two: T-UWː
type: T-AY-P
under: ˈAH-N.D-AXR
understand: ˌAH-N.D-AXRˈS-T-AE-N-D
unit: ˈY-UWː.N-IH-T
until: AX-NˈT-IH-L
up: AH-P
upon: AXˈP-AAːN
us: AH-S
use: Y-UWːZ
usually: ˈY-UWː.ZH-UW.AX.L-IY
value: ˈV-AE-L.Y-UWː
various: ˈV-EH-R.IY.AX-S
very: ˈV-EH-R.IY
victim: ˈV-IH-K.T-AX-M
view: V-Y-UWː
violence: ˈV-AY-AX.L-AX-N-S
visit: ˈV-IH-Z.IH-T
voice: V-OY-S
vote: V-OW-T
wait: W-EY-T
walk: W-AAːK
wall: W-AAːL
want: W-AAːN-T
war: W-AOːR
watch: W-AAːCH
water: ˈW-AAː.T-AXR
way: W-EY
we: W-IYː
weapon: ˈW-EH-P.AX-N
wear: W-EH-R
week: W-IYːK
weight: W-EY-T
well: W-EH-L
west: W-EH-S-T
western: ˈW-EH-S.T-AXR-N
what: W-AAːT
whatever: W-AAːˈT-EH-V.AXR
when: W-EH-N
where: W-EH-R
whether: ˈW-EH-DH.AXR
which: W-IH-CH
while: W-AY-L
white: W-AY-T
who: HH-UWː
whole: HH-OW-L
whom: HH-UWːM
whose: HH-UWːZ
why: W-AY
wide: W-AY-D
wife: W-AY-F
will: W-IH-L
win: W-IH-N
wind: W-IH-N-D
window: ˈW-IH-N.D-OW
wish: W-IH-SH
with: W-IH-DH
within: W-IHˈDH-IH-N
without: W-IHˈDH-AW-T
woman: ˈW-UH-M.AX-N
wonder: ˈW-AH-N.D-AXR
word: W-ERːD
work: W-ERːK
worker: ˈW-ERː.K-AXR
world: W-ERːL-D
worry: ˈW-ERː.IY
would: W-UH-D
write: R-AY-T
writer: ˈR-AY.T-AXR
wrong: R-AAːNG
yard: Y-AAːR-D
yeah: Y-EH-AX
year: Y-IH-R
yes: Y-EH-S
yet: Y-EH-T
you: Y-UWː
young: Y-AH-NG
your: Y-UH-R
yourself: Y-UH-RˈS-EH-L-F
